date,NoRadio,Radio,nbJoursTravail,montant
2017-01-01,553,54,20,31897
2017-02-01,603,98,20,38872
2017-03-01,628,86,23,39015
2017-04-01,517,82,18,32777
2017-05-01,523,68,20,31367
2017-06-01,508,99,20,35227
2017-07-01,491,76,20,31275
2017-08-01,342,23,15,19908
2017-09-01,433,88,18,29579
2017-10-01,585,107,22,39016
2017-11-01,375,64,16,26519
2017-12-01,330,21,16,18520
2018-01-01,437,79,17,31950
2018-02-01,523,108,20,38749
2018-03-01,537,111,22,40744
2018-04-01,498,91,18,36095
2018-05-01,363,53,13,24819
2018-06-01,463,41,20,29844
2018-07-01,315,29,13,19805
2018-08-01,194,0,8,14029
2018-09-01,466,0,20,33269
2018-10-01,459,53,17,29875
2018-11-01,495,46,20,31465
2018-12-01,356,48,15,23996
2019-01-01,460,96,18,35889
2019-02-01,510,60,18,32875
2019-03-01,224,72,14,22699
2019-04-01,570,106,21,41277
2019-05-01,501,76,19,33873
2019-06-01,313,50,12,21726
2019-07-01,540,79,22,36988
2019-08-01,168,10,7,10050
2019-09-01,534,88,21,37832
2019-10-01,448,89,22,38897
2019-11-01,418,59,18,28430
2019-12-01,300,51,12,21414
2020-01-01,494,118,20,38712
2020-02-01,507,101,20,37539
2020-03-01,278,51,13,19706
2020-04-01,169,15,14,9895
2020-05-01,426,76,18,30371
2020-06-01,511,63,21,32796
2020-07-01,534,103,21,38642
2020-08-01,245,48,11,17986
2020-09-01,405,83,21,30748
2020-10-01,398,88,19,30410
2020-11-01,381,89,19,29919
2020-12-01,297,63,16,22200
2021-01-01,426,64,20,30395
2021-02-01,461,93,20,34032
2021-03-01,462,91,23,33360
2021-04-01,521,84,21,36185
2021-05-01,382,92,18,29948
2021-06-01,463,91,22,33974
2021-07-01,372,97,18,30937
2021-08-01,291,45,12,18182
2021-09-01,423,104,21,33541
2021-10-01,425,107,21,34131
2021-11-01,388,81,19,29179
2021-12-01,245,57,13,19172
2022-01-01,387,110,18,31614
2022-02-01,405,78,19,30808
2022-03-01,361,96,19,29507
2022-04-01,469,90,20,33981
2022-05-01,334,64,17,24505
2022-06-01,470,75,17,24778
2022-07-01,375,54,19,25405
2022-08-01,148,29,7,10630
2022-09-01,460,115,22,37169
2022-10-01,425,91,20,31751
2022-11-01,388,69,20,27516
2022-12-01,303,45,15,20453
2023-01-01,369,89,18,28857
2023-02-01,423,87,19,31106
2023-03-01,493,84,23,34431
2023-04-01,395,78,17,28094
2023-05-01,544,62,13,21987
2023-06-01,399,88,18,30136
2023-07-01,426,72,19,29473
2023-08-01,215,15,8,11321
2023-09-01,423,72,20,29430
2023-10-01,266,50,14,20403
2023-11-01,270,51,14,19029
2023-12-01,216,53,13,16981
